区分,市町村,事例の内容,URL,市町村コード,更新日
暮らし,恵庭市 ,図書館カードレスIC化事業,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/eniwa02.html,1231,2021年1月29日
暮らし,北広島市,道路除雪作業と人員コスト削減と安全性向上を実現するIoTリスク予見システムの開発,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/kitahiroshima01.html,1234,
暮らし,石狩市,地域間物流における無人自動配送ロボット活用,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/ishikari01.html,1235,
暮らし,石狩市,自動運転システム,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/ishikari02.html,1235,
産業,岩見沢市,地域課題解決型ローカル5G等の実現に向けた開発実証,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/iwamizawa01.html,1210,
産業,倶知安町,AI観光案内機能の導入,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/kutchan01.html,1400,
産業,北海道,治山事業によるICTの活用,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/abira_shimukappu.html,1000,
行政,芦別市,セミセルフレジと財務会計システムを活用したRPA化,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/ashibetsu01.html,1216,
行政,恵庭市 ,RPA・AI-OCR導入,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/eniwa01.html,1231,
行政,苫小牧市,AIを活用した庁内ヘルプデスク機能構築,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/tomakomai01.html,1213,
行政,苫小牧市,RPAの活用による業務の効率化,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/tomakomai01.html,1213,
その他,北見市,クラシファイドサイトを活用した北見市のリユース活動の促進,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/kitami03.html,1208,
その他,北見市,簡易路面調査データによる『Webベース道路管理システム』,https://www.pref.hokkaido.lg.jp/ss/dtf/casestudies/kitami02.html,1208,
